
	Du är en hjälpsam assistent vars uppgift är att skriva en Wikipedia-artikel om Elizabeth II:s död och begravning, skriv artikeln på svenska.
	Du får ENDAST använda nedanstående egenskapsvärdepar som din informationskälla.
	Du behöver inte förklara varför du inte kan skapa en fullständig wikipedia artikel eller om du inte vet så får du gissa så bra du kan. 
 	Jag vill ENDAST ha Wikipedia artikeln, jag behöver ingen information om hur du har skapat artikeln. 
  	Lägg inte till några nya källor. Skriv artikeln så likt Wikipedia som möjligt. Skriv artikeln så utförligt som möjligt.
	Svara på svenska.  

	type: SpatialThing
depiction: Elizabeth_II_national_mourning_period_-_03.jpg
depiction: Floral_tributes_to_Elizabeth_II_in_Embassy_of_United_Kingdom_in_Berlin_(4).jpg
depiction: Gate_in_front_of_the_Queen’s_Sandringham_Residence_in_Norfolk,_England_(52358027955).jpg
depiction: Gun_Salute_for_Elizabeth_II_in_Winnipeg.jpg
depiction: List_of_dignitaries_at_the_state_funeral_of_Elizabeth_II_on_a_map.png
depiction: Memorial_at_the_Death_of_Queen_Elizabeth_II_along_Chelsea_Bridge_Road_(02).jpg
depiction: Memorials_at_the_Death_of_Queen_Elizabeth_II_inside_Tottenham_Court_Road_Station_(01).jpg
depiction: Procession_to_Lying-in-State_of_Elizabeth_II_at_Westminster_Hall_-_68.jpg
depiction: QE2_RIP_-_03.jpg
depiction: Queen_Elizabeth_II's_Funeral_and_Procession_(19.Sep.2022)_-_07.jpg
depiction: Queen_Elizabeth_II's_Funeral_and_Procession_(19.Sep.2022)_-_27.jpg
depiction: Queen_Elizabeth_II_Funeral_19_09_2022-19_(52368547372).jpg
depiction: Salome_Zourabichvili_at_British_Embassy.jpg
depiction: Welsh_police_in_Sloane_Square_London_prior_to_the_funeral_of_Elizabeth_II.jpg
subject: Category:2020s_in_Berkshire
subject: Category:2020s_in_Edinburgh
subject: Category:2022_in_London
subject: Category:2022_in_Scotland
subject: Category:September_2022_events_in_the_United_Kingdom
subject: Category:Death_and_state_funeral_of_Elizabeth_II
subject: Category:State_funerals_in_the_United_Kingdom
subject: Category:Women_deaths
subject: Category:Articles_containing_video_clips
subject: Category:Events_involving_British_royalty
subject: Category:Windsor_Castle
subject: Category:21st_century_in_Aberdeenshire
subject: Category:European_court_festivities
subject: Category:Funerals_by_person
wikiPageID: 71708476
wikiPageRevisionID: 1124840139
wikiPageWikiLink: Caernarfon_Castle
wikiPageWikiLink: Camilla,_Queen_Consort
wikiPageWikiLink: Canadian_Armed_Forces
wikiPageWikiLink: Canadian_Federation_of_Independent_Business
wikiPageWikiLink: Cardiff_Castle
wikiPageWikiLink: Carl_Gustav_Swensson
wikiPageWikiLink: Carl_XVI_Gustaf
wikiPageWikiLink: Cartier_Square_Drill_Hall
wikiPageWikiLink: Castle_Cornet
wikiPageWikiLink: President_of_Ireland
wikiPageWikiLink: Presiding_Officer_of_the_Scottish_Parliament
wikiPageWikiLink: Prime_Minister_of_the_United_Kingdom
wikiPageWikiLink: Prince_Andrew,_Duke_of_York
wikiPageWikiLink: Prince_Edward,_Earl_of_Wessex_and_Forfar
wikiPageWikiLink: Prince_Edward_Island
wikiPageWikiLink: Prince_Harry,_Duke_of_Sussex
wikiPageWikiLink: Prince_Philip,_Duke_of_Edinburgh
wikiPageWikiLink: Prince_Richard,_Duke_of_Gloucester
wikiPageWikiLink: Princess_Beatrice
wikiPageWikiLink: Princess_Eugenie
wikiPageWikiLink: Privy_Council_of_the_United_Kingdom
wikiPageWikiLink: Psalm_100
wikiPageWikiLink: Quebec
wikiPageWikiLink: Queen's_Colour_Squadron
wikiPageWikiLink: Queen's_Personal_New_Zealand_Flag
wikiPageWikiLink: Queen_Elizabeth_the_Queen_Mother
wikiPageWikiLink: Rosa_'Queen_Elizabeth'
wikiPageWikiLink: Royal_Artillery
wikiPageWikiLink: Royal_Banner_of_Scotland
wikiPageWikiLink: Royal_Canadian_Air_Force
wikiPageWikiLink: Royal_Canadian_Mounted_Police
wikiPageWikiLink: Royal_Hillsborough
wikiPageWikiLink: Royal_Households_of_the_United_Kingdom
wikiPageWikiLink: Royal_Mail
wikiPageWikiLink: Royal_Maundy
wikiPageWikiLink: Royal_Navy
wikiPageWikiLink: Royal_Order_of_the_Seraphim
wikiPageWikiLink: Royal_Police_Force_of_Antigua_and_Barbuda
wikiPageWikiLink: Royal_Regiment_of_Scotland
wikiPageWikiLink: Royal_Saint_Lucia_Police_Force
wikiPageWikiLink: Royal_Standard_of_the_United_Kingdom
wikiPageWikiLink: Sandringham_House
wikiPageWikiLink: Sarah_Mullally
wikiPageWikiLink: Saskatchewan
wikiPageWikiLink: Schmücke_dich,_o_liebe_Seele
wikiPageWikiLink: Scots_Guards
wikiPageWikiLink: Scottish_Parliament
wikiPageWikiLink: Elegy_(Elgar)
wikiPageWikiLink: List_of_dignitaries_at_the_state_funeral_of_Elizabeth_II
wikiPageWikiLink: Mutual_aid_(emergency_services)
wikiPageWikiLink: Speaker_of_the_House_of_Commons_(United_Kingdom)
wikiPageWikiLink: Category:2020s_in_Berkshire
wikiPageWikiLink: Category:2020s_in_Edinburgh
wikiPageWikiLink: Category:2022_in_London
wikiPageWikiLink: Category:2022_in_Scotland
wikiPageWikiLink: Category:September_2022_events_in_the_United_Kingdom
wikiPageWikiLink: Belfast
wikiPageWikiLink: Ben_Key
wikiPageWikiLink: Big_Ben
wikiPageWikiLink: Bishop_of_London
wikiPageWikiLink: Blues_and_Royals
wikiPageWikiLink: Boeing_C-17_Globemaster_III
wikiPageWikiLink: Book_of_Common_Prayer_(1662)
wikiPageWikiLink: Boris_Johnson
wikiPageWikiLink: Brian_Mulroney
wikiPageWikiLink: David_Armstrong-Jones,_2nd_Earl_of_Snowdon
wikiPageWikiLink: David_Hoyle_(priest)
wikiPageWikiLink: Dean_Rusk
wikiPageWikiLink: Death_and_funeral_of_Prince_Philip,_Duke_of_Edinburgh
wikiPageWikiLink: Death_and_funeral_of_Queen_Elizabeth_The_Queen_Mother
wikiPageWikiLink: Death_and_state_funeral_of_George_VI
wikiPageWikiLink: Death_and_state_funeral_of_Winston_Churchill
wikiPageWikiLink: Department_of_Canadian_Heritage
wikiPageWikiLink: Archbishop_of_Armagh
wikiPageWikiLink: Archbishop_of_Wales
wikiPageWikiLink: Archbishop_of_Westminster
wikiPageWikiLink: Holyrood_Palace
wikiPageWikiLink: Hong_Kong_national_security_law
wikiPageWikiLink: Honourable_Artillery_Company
wikiPageWikiLink: Horse_Guards_(building)
wikiPageWikiLink: House_of_Commons_of_the_United_Kingdom
wikiPageWikiLink: Household_Cavalry
wikiPageWikiLink: Hubert_Humphrey
wikiPageWikiLink: Huw_Edwards
wikiPageWikiLink: Hyde_Park,_London
wikiPageWikiLink: Judith_Weir
wikiPageWikiLink: Biblical_garden
wikiPageWikiLink: List_of_monarchs_in_Britain_by_length_of_reign
wikiPageWikiLink: Patrick_Sanders_(British_Army_officer)
wikiPageWikiLink: Paul_Mealor
wikiPageWikiLink: Perth
wikiPageWikiLink: Peter_Maxwell_Davies
wikiPageWikiLink: Peter_Phillips
wikiPageWikiLink: Retail_Council_of_Canada
wikiPageWikiLink: Revelation_21
wikiPageWikiLink: Victoria_Cross
wikiPageWikiLink: Victoria_Memorial,_London
wikiPageWikiLink: Vincent_Nichols
wikiPageWikiLink: Category:Death_and_state_funeral_of_Elizabeth_II
wikiPageWikiLink: Category:State_funerals_in_the_United_Kingdom
wikiPageWikiLink: Category:Women_deaths
wikiPageWikiLink: Dean_of_Westminster
wikiPageWikiLink: Duke_of_Cornwall
wikiPageWikiLink: Earl_Marshal
wikiPageWikiLink: John_14
wikiPageWikiLink: Officer_of_arms
wikiPageWikiLink: Phlox
wikiPageWikiLink: State_Opening_of_Parliament
wikiPageWikiLink: News_agency
wikiPageWikiLink: List_of_largest_funerals
wikiPageWikiLink: List_of_most_watched_television_broadcasts_in_the_United_Kingdom
wikiPageWikiLink: Prelude_and_Fugue_in_C_minor,_BWV_546
wikiPageWikiLink: Presiding_bishop
wikiPageWikiLink: Psalm_121
wikiPageWikiLink: Public_holidays_in_Australia
wikiPageWikiLink: Queen_Camilla
wikiPageWikiLink: Queen_of_Canada
wikiPageWikiLink: 104th_Regiment_Royal_Artillery
wikiPageWikiLink: 10_Downing_Street
wikiPageWikiLink: 16th_Field_Regiment,_Royal_New_Zealand_Artillery
wikiPageWikiLink: Category:Articles_containing_video_clips
wikiPageWikiLink: Colombo
wikiPageWikiLink: Common_cold
wikiPageWikiLink: Commonwealth_of_Nations
wikiPageWikiLink: Coronation_of_Charles_III_and_Camilla
wikiPageWikiLink: Crathie_Kirk
wikiPageWikiLink: Crown_of_Scotland
wikiPageWikiLink: Meghan,_Duchess_of_Sussex
wikiPageWikiLink: Member_states_of_the_United_Nations
wikiPageWikiLink: Saint_Ann_Parish
wikiPageWikiLink: Saint_James_Parish,_Jamaica
wikiPageWikiLink: Chiefs_of_Staff_Committee
wikiPageWikiLink: George_Cross
wikiPageWikiLink: Operation_Unicorn_(Scotland)
wikiPageWikiLink: Sovereign's_Orb
wikiPageWikiLink: Psalm_118
wikiPageWikiLink: Trelawny_Parish
wikiPageWikiLink: Queen_of_Australia
wikiPageWikiLink: Sebastapol_Bell,_Windsor
wikiPageWikiLink: Category:Events_involving_British_royalty
wikiPageWikiLink: Category:Windsor_Castle
wikiPageWikiLink: Chris_Heaton-Harris
wikiPageWikiLink: Christchurch
wikiPageWikiLink: Church_of_Ireland
wikiPageWikiLink: Clarence_House
wikiPageWikiLink: Clarendon_Parish,_Jamaica
wikiPageWikiLink: Coldstream_Guards
wikiPageWikiLink: Edward_Elgar
wikiPageWikiLink: Elin_Jones
wikiPageWikiLink: Elizabeth_II
wikiPageWikiLink: Embassy
wikiPageWikiLink: Embassy_of_the_United_Kingdom,_Berlin
wikiPageWikiLink: Embassy_of_the_United_Kingdom,_Jakarta
wikiPageWikiLink: Embassy_of_the_United_Kingdom,_Washington,_D.C.
wikiPageWikiLink: English_oak
wikiPageWikiLink: Enigma_Variations
wikiPageWikiLink: Episcopal_Church_(United_States)
wikiPageWikiLink: Frédéric_Chopin
wikiPageWikiLink: GCHQ
wikiPageWikiLink: Gaston_Browne
wikiPageWikiLink: General_(United_Kingdom)
wikiPageWikiLink: General_debate_of_the_seventy-seventh_session_of_the_United_Nations_General_Assembly
wikiPageWikiLink: George_II_of_Great_Britain
wikiPageWikiLink: George_VI
wikiPageWikiLink: Gibraltar
wikiPageWikiLink: Glasgow
wikiPageWikiLink: Global_Media_&_Entertainment
wikiPageWikiLink: Glory_to_Hong_Kong
wikiPageWikiLink: God_Save_the_King
wikiPageWikiLink: Government_of_New_South_Wales
wikiPageWikiLink: Government_of_Western_Australia
wikiPageWikiLink: Government_of_the_United_Kingdom
wikiPageWikiLink: Grahame_Davies
wikiPageWikiLink: Bourdon_(bell)
wikiPageWikiLink: Moderator_of_the_General_Assembly_of_the_Church_of_Scotland
wikiPageWikiLink: Monarchy_of_New_Zealand
wikiPageWikiLink: Monarchy_of_the_United_Kingdom
wikiPageWikiLink: Motet
wikiPageWikiLink: Nancy_Pelosi
wikiPageWikiLink: Constitution_Hill,_London
wikiPageWikiLink: The_Lord's_My_Shepherd
wikiPageWikiLink: The_Queen's_Green_Canopy
wikiPageWikiLink: The_Queue
wikiPageWikiLink: Thimphu
wikiPageWikiLink: Labour_for_an_Independent_Wales
wikiPageWikiLink: National_day_of_mourning
wikiPageWikiLink: St_Clement_(hymn_tune)
wikiPageWikiLink: Military_chaplain
wikiPageWikiLink: Organ_Sonata_(Elgar)
wikiPageWikiLink: Andrew_Holness
wikiPageWikiLink: Angela_Rayner
wikiPageWikiLink: Angus,_Scotland
wikiPageWikiLink: Anthony_Albanese
wikiPageWikiLink: Antigua_and_Barbuda_Defence_Force
wikiPageWikiLink: Leverton_&_Sons
wikiPageWikiLink: Life_Guards_(United_Kingdom)
wikiPageWikiLink: Like_as_the_hart_(Weir)
wikiPageWikiLink: Liz_Truss
wikiPageWikiLink: Llandaff_Cathedral
wikiPageWikiLink: Llywydd
wikiPageWikiLink: London_Ambulance_Service
wikiPageWikiLink: London_Stock_Exchange
wikiPageWikiLink: Lord_Chamberlain
wikiPageWikiLink: Love_Divine,_All_Loves_Excelling
wikiPageWikiLink: Ludwig_van_Beethoven
wikiPageWikiLink: Lyndon_B._Johnson
wikiPageWikiLink: MI5
wikiPageWikiLink: Mackenzie_District
wikiPageWikiLink: Malcolm_Williamson
wikiPageWikiLink: Manchester
wikiPageWikiLink: Simon_Case
wikiPageWikiLink: Sinn_Féin
wikiPageWikiLink: Sir_Lindsay_Hoyle
wikiPageWikiLink: St_Paul's_Cathedral
wikiPageWikiLink: State_funeral_of_Queen_Victoria
wikiPageWikiLink: State_funerals_in_the_United_Kingdom
wikiPageWikiLink: Statista
wikiPageWikiLink: Stephen_Cottrell
wikiPageWikiLink: Stonehenge
wikiPageWikiLink: Style_(form_of_address)
wikiPageWikiLink: Commonwealth_Day
wikiPageWikiLink: Commonwealth_Secretary-General
wikiPageWikiLink: Commonwealth_realm
wikiPageWikiLink: Zara_Tindall
wikiPageWikiLink: Žilina
wikiPageWikiLink: Fendersmith
wikiPageWikiLink: Funeral_directors_to_the_Royal_Household
wikiPageWikiLink: Half-mast
wikiPageWikiLink: Household_Division
wikiPageWikiLink: Portland_Parish
wikiPageWikiLink: Public_Order_Act
wikiPageWikiLink: Staff_of_office
wikiPageWikiLink: Symphony_No._5_(Vaughan_Williams)
wikiPageWikiLink: Avarua
wikiPageWikiLink: BBC_Local_Radio
wikiPageWikiLink: BBC_News_(TV_channel)
wikiPageWikiLink: BBC_One
wikiPageWikiLink: BBC_Radio
wikiPageWikiLink: BBC_Radio_2
wikiPageWikiLink: BBC_Radio_3
wikiPageWikiLink: BBC_Radio_4
wikiPageWikiLink: BBC_Radio_5_Live
wikiPageWikiLink: BBC_Television
wikiPageWikiLink: BBC_World_Service
wikiPageWikiLink: BT_Tower
wikiPageWikiLink: Balmoral_Castle
wikiPageWikiLink: Bandar_Seri_Begawan
wikiPageWikiLink: British_Army
wikiPageWikiLink: British_Columbia
wikiPageWikiLink: British_Empire
wikiPageWikiLink: British_Sign_Language
wikiPageWikiLink: British_Summer_Time
wikiPageWikiLink: COP26
wikiPageWikiLink: COVID-19
wikiPageWikiLink: COVID-19_pandemic_in_England
wikiPageWikiLink: Cathedral_of_Christ_the_Living_Saviour
wikiPageWikiLink: Catherine,_Princess_of_Wales
wikiPageWikiLink: Timaru_District
wikiPageWikiLink: Tony_Radakin
wikiPageWikiLink: Toronto
wikiPageWikiLink: Tottenham_Court_Road_station
wikiPageWikiLink: Tower_of_London
wikiPageWikiLink: Treetops_Hotel
wikiPageWikiLink: Truss_ministry
wikiPageWikiLink: Twitter
wikiPageWikiLink: Waimate_District
wikiPageWikiLink: Wang_Qishan
wikiPageWikiLink: Washington_National_Cathedral
wikiPageWikiLink: Wedding_of_Prince_Charles_and_Lady_Diana_Spencer
wikiPageWikiLink: Wedding_of_Prince_William_and_Catherine_Middleton
wikiPageWikiLink: Wellington_Cathedral_of_St_Paul
wikiPageWikiLink: Welsh_Guards
wikiPageWikiLink: Welsh_language
wikiPageWikiLink: Western_Australia
wikiPageWikiLink: Westminster_Abbey
wikiPageWikiLink: Westminster_City_Council
wikiPageWikiLink: Westminster_Hall
wikiPageWikiLink: Westmount,_Quebec
wikiPageWikiLink: Whitehall
wikiPageWikiLink: Who_shall_separate_us%3F
wikiPageWikiLink: William,_Prince_of_Wales
wikiPageWikiLink: William_Byrd
wikiPageWikiLink: William_Croft
wikiPageWikiLink: William_Henry_Harris
wikiPageWikiLink: Windsor_Castle
wikiPageWikiLink: Windsor_Great_Park
wikiPageWikiLink: Windsor_Guildhall
wikiPageWikiLink: Galle_Face_Green
wikiPageWikiLink: Garter_Principal_King_of_Arms
wikiPageWikiLink: Last_Post
wikiPageWikiLink: Leader_of_the_Opposition_(United_Kingdom)
wikiPageWikiLink: Llywydd_of_the_Senedd
wikiPageWikiLink: Pallbearer
wikiPageWikiLink: Thongdrel
wikiPageWikiLink: 2022_Saskatchewan_stabbings
wikiPageWikiLink: Aberdeen_Airport
wikiPageWikiLink: Aberdeenshire
wikiPageWikiLink: Admiral_(Royal_Navy)
wikiPageWikiLink: Adrienne_Clarkson
wikiPageWikiLink: AgustaWestland_AW159_Wildcat
wikiPageWikiLink: Alberta
wikiPageWikiLink: Alex_Maskey
wikiPageWikiLink: Alis_Huws
wikiPageWikiLink: Alison_Johnstone
wikiPageWikiLink: Dahlia
wikiPageWikiLink: Dáil_Éireann
wikiPageWikiLink: Earl_of_Chester
wikiPageWikiLink: Ecclesiastes_3
wikiPageWikiLink: Edinburgh_Airport
wikiPageWikiLink: Edinburgh_Castle
wikiPageWikiLink: Eric_Chan
wikiPageWikiLink: European_Union
wikiPageWikiLink: Felix_Mendelssohn
wikiPageWikiLink: Fife
wikiPageWikiLink: First_Lady_of_Ukraine
wikiPageWikiLink: First_Minister_of_Scotland
wikiPageWikiLink: First_Minister_of_Wales
wikiPageWikiLink: First_Sea_Lord_and_Chief_of_the_Naval_Staff
wikiPageWikiLink: Flag_of_the_United_Kingdom
wikiPageWikiLink: Food_bank
wikiPageWikiLink: Bank_holiday
wikiPageWikiLink: Nicola_Sturgeon
wikiPageWikiLink: Northern_Ireland_Assembly
wikiPageWikiLink: Northwest_Territories
wikiPageWikiLink: Nova_Scotia
wikiPageWikiLink: Palace_of_Westminster
wikiPageWikiLink: Parliament_Hill
wikiPageWikiLink: Parliament_of_Sri_Lanka
wikiPageWikiLink: Catrin_Finch
wikiPageWikiLink: Charles_Villiers_Stanford
wikiPageWikiLink: Churches_Together_in_England
wikiPageWikiLink: Foot_guards
wikiPageWikiLink: Foreign_Office
wikiPageWikiLink: Foreign_relations_of_the_United_Kingdom
wikiPageWikiLink: Sweet_pea
wikiPageWikiLink: Ralph_Vaughan_Williams
wikiPageWikiLink: Reveille
wikiPageWikiLink: Rex_(title)
wikiPageWikiLink: Category:21st_century_in_Aberdeenshire
wikiPageWikiLink: Grenadier_Guards
wikiPageWikiLink: HMNB_Portsmouth
wikiPageWikiLink: Hanover_Parish
wikiPageWikiLink: Harold_Darke
wikiPageWikiLink: Hastings,_New_Zealand
wikiPageWikiLink: Healey_Willan
wikiPageWikiLink: Heathrow_Airport
wikiPageWikiLink: Herbert_Howells
wikiPageWikiLink: Hillsborough_Castle
wikiPageWikiLink: Irish_Guards
wikiPageWikiLink: Isaac_Herzog
wikiPageWikiLink: J._Michel_Doyon
wikiPageWikiLink: Jacinda_Ardern
wikiPageWikiLink: James_Cleverly
wikiPageWikiLink: James_MacMillan
wikiPageWikiLink: James_Marape
wikiPageWikiLink: James_O'Donnell_(organist)
wikiPageWikiLink: James_V_of_Scotland
wikiPageWikiLink: Taoiseach
wikiPageWikiLink: Thames_Valley_Police
wikiPageWikiLink: The_Cenotaph
wikiPageWikiLink: United_Nations_General_Assembly_observers
wikiPageWikiLink: State_hearse
wikiPageWikiLink: Archbishop_of_Canterbury
wikiPageWikiLink: Archbishop_of_York
wikiPageWikiLink: Army_Training_Centre_Pirbright
wikiPageWikiLink: Auckland
wikiPageWikiLink: A_Service_of_Thanksgiving_for_the_life_of_The_Duke_of_Edinburgh
wikiPageWikiLink: Accession_Council
wikiPageWikiLink: Category:European_court_festivities
wikiPageWikiLink: Afghanistan–United_Kingdom_relations
wikiPageWikiLink: Channel_4
wikiPageWikiLink: Channel_5_(British_TV_channel)
wikiPageWikiLink: Charles_III
wikiPageWikiLink: Chief_Secretary_for_Administration
wikiPageWikiLink: Chief_of_the_Air_Staff_(United_Kingdom)
wikiPageWikiLink: Chief_of_the_Defence_Staff_(United_Kingdom)
wikiPageWikiLink: Chief_of_the_General_Staff_(United_Kingdom)
wikiPageWikiLink: Jersey
wikiPageWikiLink: Jessie_Seymour_Irvine
wikiPageWikiLink: Jetsun_Pema
wikiPageWikiLink: Jigme_Khesar_Namgyel_Wangchuck
wikiPageWikiLink: Joe_Biden
wikiPageWikiLink: Johann_Sebastian_Bach
wikiPageWikiLink: John_McDowell_(bishop)
wikiPageWikiLink: Justin_Trudeau
wikiPageWikiLink: Justin_Welby
wikiPageWikiLink: Kamala_Harris
wikiPageWikiLink: Karen_Matheson
wikiPageWikiLink: Karen_Pierce
wikiPageWikiLink: Kausea_Natano
wikiPageWikiLink: Kevin_McCarthy_(California_politician)
wikiPageWikiLink: King's_Troop,_Royal_Horse_Artillery
wikiPageWikiLink: King_Edward_VII's_Hospital
wikiPageWikiLink: King_George_VI_Memorial_Chapel
wikiPageWikiLink: Lady_Louise_Windsor
wikiPageWikiLink: Lady_Sarah_Chatto
wikiPageWikiLink: Las_Vegas_Strip
wikiPageWikiLink: Le_Touquet_–_Côte_d'Opale_Airport
wikiPageWikiLink: Lead
wikiPageWikiLink: Birkhall
wikiPageWikiLink: Bishop_of_Llandaff
wikiPageWikiLink: Blaenwern
wikiPageWikiLink: Sydney
wikiPageWikiLink: Sydney_Opera_House
wikiPageWikiLink: High_commissioner_(Commonwealth)
wikiPageWikiLink: Honourable_Corps_of_Gentlemen_at_Arms
wikiPageWikiLink: NHS_trust
wikiPageWikiLink: Westmoreland_Parish
wikiPageWikiLink: White_heather
wikiPageWikiLink: Trooping_the_Colour
wikiPageWikiLink: Sovereign's_Bodyguard
wikiPageWikiLink: Saint_Catherine_Parish
wikiPageWikiLink: Category:Funerals_by_person
wikiPageWikiLink: Manitoba
wikiPageWikiLink: Mark_Drakeford
wikiPageWikiLink: Bus_stop
wikiPageWikiLink: Butter_lamp
wikiPageWikiLink: Cabinet_Secretary_(United_Kingdom)
wikiPageWikiLink: Philip_Davis_(Bahamian_politician)
wikiPageWikiLink: Piccadilly_Circus
wikiPageWikiLink: Platinum_Jubilee_of_Elizabeth_II
wikiPageWikiLink: Solomon_Islands
wikiPageWikiLink: Sophie,_Countess_of_Wessex
wikiPageWikiLink: St_Anne's_Cathedral,_Belfast
wikiPageWikiLink: St_George's_Chapel,_Windsor_Castle
wikiPageWikiLink: St_Giles'_Cathedral
wikiPageWikiLink: St_James's_Palace
wikiPageWikiLink: St_John's_Cathedral_(Hong_Kong)
wikiPageWikiLink: Gross_domestic_product
wikiPageWikiLink: Guard_of_honour
wikiPageWikiLink: Hubert_Parry
wikiPageWikiLink: ITV_(TV_channel)
wikiPageWikiLink: ITV_(TV_network)
wikiPageWikiLink: Air_Chief_Marshal
wikiPageWikiLink: Metropolitan_Police
wikiPageWikiLink: Michael_Curry_(bishop)
wikiPageWikiLink: Michael_D._Higgins
wikiPageWikiLink: Michael_Wigston
wikiPageWikiLink: Micheál_Martin
wikiPageWikiLink: Buckingham_Palace
wikiPageWikiLink: National_Health_Service
wikiPageWikiLink: New_Brunswick
wikiPageWikiLink: New_Plymouth
wikiPageWikiLink: New_York_City
wikiPageWikiLink: Newfoundland_and_Labrador
wikiPageWikiLink: Oath_of_Allegiance_(United_Kingdom)
wikiPageWikiLink: Old_age
wikiPageWikiLink: Olena_Zelenska
wikiPageWikiLink: Ontario
wikiPageWikiLink: Orgelbüchlein
wikiPageWikiLink: Orlando_Gibbons
wikiPageWikiLink: Catafalque
wikiPageWikiLink: RAF_Northolt
wikiPageWikiLink: Ceremony_of_the_Keys_(Edinburgh)
wikiPageWikiLink: Chapel_Royal
wikiPageWikiLink: Secretary_of_State_for_Northern_Ireland
wikiPageWikiLink: Senedd
wikiPageWikiLink: Servare_et_Manere
wikiPageWikiLink: Christ_Church_Cathedral_(Ottawa)
wikiPageWikiLink: Yeomen_of_the_Guard
wikiPageWikiLink: Public_holiday
wikiPageWikiLink: Manchester_Parish
wikiPageWikiLink: Member_of_the_Scottish_Parliament
wikiPageWikiLink: The_Mall,_London
wikiPageWikiLink: Royal_Mile
wikiPageWikiLink: Royal_family
wikiPageWikiLink: Saint_Elizabeth_Parish
wikiPageWikiLink: Saint_Mary_Parish,_Jamaica
wikiPageWikiLink: Saint_Thomas_Parish,_Jamaica
wikiPageWikiLink: Unmanned_aerial_vehicle
wikiPageWikiLink: Vysoká_nad_Kysucou
wikiPageWikiLink: Sovereign's_Sceptre_with_Cross
wikiPageWikiLink: Gun_salute
wikiPageWikiLink: Iain_Greenshields
wikiPageWikiLink: Imperial_State_Crown
wikiPageWikiLink: Operation_London_Bridge
wikiPageWikiLink: Sprain
wikiPageWikiLink: Platinum_Jubilee_National_Service_of_Thanksgiving
wikiPageWikiLink: Royal_corgis
wikiPageWikiLink: Russia–United_Kingdom_relations
wikiPageWikiLink: United_Kingdom–Venezuela_relations
wikiPageWikiLink: St_George's_Chapel
wikiPageWikiLink: Fixated_Threat_Assessment_Centre
wikiPageWikiLink: Myanmar–United_Kingdom_relations
wikiPageWikiLink: National_Service_of_Remembrance
wikiPageWikiLink: National_service_of_thanksgiving
wikiPageWikiLink: Syria–United_Kingdom_relations
wikiPageWikiLink: Symptoms_of_COVID-19
wikiPageWikiLink: Investiture_of_Prince_William
wikiPageWikiLink: Psalm_116
wikiPageWikiLink: Sheep_may_safely_graze
wikiPageWikiLink: The_day_thou_gavest,_Lord,_is_ended
wikiPageWikiLink: Welsh_republicanism
wikiPageWikiLink: Royal_Company_of_Archers
wikiPageWikiLink: Rhosymedre_(hymn_tune)
wikiPageWikiLink: Ta_Kung_Pao
wikiPageWikiLink: York_Museum_Gardens
wikiPageWikiLink: Sospiri
wikiPageWikiLink: Wellington_Arch
wikiPageWikiLink: Vigil_of_the_Princes
wikiPageWikiLink: South_Canterbury
wikiPageWikiLink: Lament_for_the_Children
wikiPageWikiLink: Riddarholmen_Church
wikiPageWikiLink: Romans_8
